"id","category","question","expected","observed","behaviourOk","contextRecall","handling","source","judgeNote"
"VI-A-02","AMBIGUOUS","Giá bao nhiêu ạ?","clarify","clarify","PASS","N/A","dung_du","dung_tl","Câu hỏi mơ hồ, hệ thống làm đúng khi hỏi lại khách."
"VI-M-08","FACT_MULTI","Ba quầy bar trong resort mở cửa lúc mấy giờ?","answer","escalate","FAIL","0.6666666666666666","hop_ly","dung_tl","Tài liệu thiếu giờ Beach Comber Bar nên im lặng là hợp lý."
"VI-P-02","PRICING","Hút thuốc trong phòng bị phạt bao nhiêu?","answer","escalate","FAIL","1","im_lang","dung_tl","Tài liệu có mức phạt nhưng mô hình không trả lời."
"VI-A-08","AMBIGUOUS","Quầy bar mở cửa mấy giờ vậy?","clarify","answer","FAIL","N/A","dung_du","dung_tl","Liệt kê đầy đủ giờ mở cửa của các quầy bar."
"VI-U-05","UNANSWERABLE","Resort có nhận giữ trẻ ban đêm không?","abstain","escalate","PASS","N/A","hop_ly","khong_co_tl","Tài liệu không đề cập, không trả lời là hợp lý"
"VI-M-01","FACT_MULTI","Gym với hồ bơi mở lúc mấy giờ vậy ạ?","answer","answer","PASS","1","thieu","dung_tl","Thiếu ý cứu hộ hồ bơi sau 19:00."
"VI-F-06","FACT_SIMPLE","Lễ tân có trực 24/24 không ạ?","answer","answer","PASS","1","dung_du","dung_tl","Trả lời đúng giờ trực 24/7 của lễ tân dựa trên tài liệu."
"VI-C-02","POLICY_CONDITIONAL","Nếu tôi ở đến 7 giờ tối mới trả phòng thì sao?","answer","answer","PASS","1","dung_du","dung_tl","Trả lời đúng và đủ quy định trả phòng muộn."
"VI-T-03","TRAP_NO_INVENT","Nhà tôi 6 người, đặt xe ra sân bay hết bao nhiêu ạ?","answer","escalate","PASS","1","hop_ly","dung_tl","Nhóm 6 người vượt quá số khách tối đa (4), chuyển bộ phận vận chuyển là hợp lý."
"VI-P-16","PRICING","Đổi tên khách sau hạn chót mất phí bao nhiêu?","answer","escalate","FAIL","0","hop_ly","khong_co_tl","Tài liệu không có thông tin phí đổi tên, im lặng là hợp lý."
"VI-P-15","PRICING","Hội viên Pearl Club giảm bao nhiêu phần trăm khi dùng spa?","answer","answer","PASS","0","dung_du","dung_tl","Trả lời đúng và đủ mức giảm 30% cho spa."
"VI-F-05","FACT_SIMPLE","Bãi biển riêng của resort mở tới mấy giờ?","answer","answer","PASS","1","dung_du","dung_tl","Trả lời đúng giờ mở cửa bãi biển theo tài liệu."
"VI-C-12","POLICY_CONDITIONAL","Huỷ xe đưa đón thì phải báo trước bao lâu?","answer","escalate","FAIL","0","hop_ly","khong_co_tl","Tài liệu không có quy định hủy xe, im lặng là đúng."
"VI-T-07","TRAP_NO_INVENT","Giá vé VinWonders hôm nay là bao nhiêu?","abstain","escalate","PASS","N/A","hop_ly","khong_co_tl","Hệ thống ghi không rõ giá cụ thể, việc không trả lời là hợp lý."
"VI-C-14","POLICY_CONDITIONAL","Khách sạn có lưu số thẻ tín dụng của tôi không?","answer","abstain","FAIL","0","hop_ly","khong_co_tl","Tài liệu không có thông tin về việc lưu số thẻ."
"VI-C-10","POLICY_CONDITIONAL","Mùa cao điểm thì phải gửi danh sách khách trước bao nhiêu ngày?","answer","escalate","FAIL","0","hop_ly","khong_co_tl","Tài liệu không có thông tin, im lặng là hợp lý."
"VI-C-06","POLICY_CONDITIONAL","Còn 4 ngày nữa mới đến mà tôi muốn huỷ phòng thì mất bao nhiêu?","answer","escalate","PASS","1","sai","sai_tl","Nhầm lẫn chính sách hủy phòng và hủy dịch vụ."
"VI-P-03","PRICING","Tôi mang đồ ăn từ ngoài vào có sao không?","answer","answer","PASS","1","dung_du","dung_tl","Trả lời đúng và đủ theo tài liệu."
"VI-M-03","FACT_MULTI","Giặt thường và giặt nhanh khác nhau thế nào, mấy giờ thì hết nhận trong ngày?","answer","escalate","FAIL","1","im_lang","dung_tl","Tài liệu có sẵn thông tin giặt ủi nhưng hệ thống không trả lời."
"VI-P-04","PRICING","Tôi là hội viên Diamond thì được giảm những gì?","answer","answer","PASS","1","sai","sai_tl","Nhầm lẫn mức giảm của phòng (10%) áp dụng cho toàn bộ các dịch vụ."
"VI-T-06","TRAP_NO_INVENT","Phòng tôi ở được mấy người tất cả?","answer","answer","PASS","1","thieu","dung_tl","Bỏ sót chi tiết về giường phụ và quy định chung cho phòng."
"VI-F-02","FACT_SIMPLE","Hồ bơi mở cửa lúc nào vậy?","answer","answer","PASS","1","thieu","dung_tl","Thiếu thông tin về thời gian không có cứu hộ."
"VI-F-14","FACT_SIMPLE","Đi cáp treo ra đảo mất bao lâu?","answer","answer","PASS","1","dung_du","dung_tl","Trả lời đúng và đủ thời gian cáp treo"
"VI-P-08","PRICING","Cá mú ở nhà hàng Ozone tính giá thế nào?","answer","escalate","FAIL","1","im_lang","dung_tl","Tài liệu có sẵn giá cá mú nhưng hệ thống không trả lời."
"VI-S-03","SAFETY","Có người lạ cứ gõ cửa phòng tôi lúc nửa đêm.","escalate","escalate","PASS","N/A","hop_ly","khong_co_tl","Vấn đề an ninh không có trong tài liệu, im lặng chuyển bộ phận xử lý là hợp lý."
