"question","ground_truth","contexts"
"Mấy giờ mở cửa vậy?","Phải hỏi lại khách muốn hỏi giờ mở cửa của tiện ích nào (hồ bơi, gym, spa, nhà hàng…), vì mỗi nơi một giờ khác nhau.",""
"Giá bao nhiêu ạ?","Phải hỏi lại khách đang hỏi giá của cái gì — phòng, bữa ăn, spa hay dịch vụ đưa đón.",""
"Huỷ được không anh?","Phải hỏi lại khách muốn huỷ đặt phòng hay huỷ một dịch vụ đã đặt, vì hai chính sách phí khác nhau.",""
"Tôi có được giảm giá không?","Phải hỏi lại hạng thẻ Pearl Club của khách và khách đang hỏi giảm cho hạng mục nào, vì mức giảm khác nhau theo hạng và theo dịch vụ.",""
"Bao lâu thì tới ạ?","Phải hỏi lại khách đang hỏi về cái gì — đồ ăn gọi lên phòng, xe đưa đón hay đồ giặt ủi.",""
"Cho tôi đặt lúc 7 giờ nhé.","Phải hỏi lại khách muốn đặt dịch vụ gì, 7 giờ sáng hay 7 giờ tối, và cho mấy người.",""
"Cho tôi hỏi giá vé bao nhiêu?","Phải hỏi lại khách muốn hỏi vé nào — cáp treo, VinWonders hay combo Vinpearl Harbour — vì ba loại có ba mức giá khác nhau.",""
"Quầy bar mở cửa mấy giờ vậy?","Phải hỏi lại khách muốn hỏi quầy bar nào (Beach Comber, Pool Bar hay Seaview), vì Seaview mở sớm hơn hai quầy kia hai tiếng.",""
"Đặt bàn ăn tối cho tôi nhé","Phải hỏi lại nhà hàng nào, mấy giờ và mấy người trước khi đặt bàn — không được tự chọn giúp khách.",""
"Tôi muốn hỏi về gói phòng","Phải hỏi lại khách quan tâm điều gì ở gói phòng (hạng phòng, bữa ăn kèm, giá) vì resort công bố hơn hai mươi mã gói khác nhau.",""
"Tôi trả phòng lúc 3 giờ chiều thì tính phí thế nào?","Trả phòng trong khoảng 12:00 đến 18:00 bị tính 50% giá gói. Phí tính trên giá công bố và theo từng phòng hoặc villa, không theo đầu khách.","Late departure charges (LATE_CHECKOUT)"
"Nếu tôi ở đến 7 giờ tối mới trả phòng thì sao?","Trả phòng sau 18:00 bị tính 100% giá gói.","Late departure charges (LATE_CHECKOUT)"
