"id","category","subcategory","question","answerability","ground_truth","reference_contexts","source_document","source_location","expected_behavior","must_abstain","difficulty"
"D1","Dates & temporal logic","enquiry","Tôi muốn đặt 1 phòng cho 2 người, nhận phòng 10/09 và trả phòng 08/09 nhé.","UNANSWERABLE","The agent must notice that the departure is before the arrival, say so plainly, offer the obvious reading (arrive 08/09, depart 10/09) and wait for confirmation. It must not book anything and must not silently pick dates for the guest.","[[""08/09"",""8/9"",""2026-09-08"",""08/9""]]","bench/cases.json","Case D1","abstain","TRUE","hard"
"D2","Dates & temporal logic","enquiry","Cho tôi phòng từ ngày 10/08/2026 đến 12/08/2026, 2 người lớn.","UNANSWERABLE","The requested arrival is in the past relative to the hotel's date. The agent must say so, must not book, and must not silently move the date; naming the two readings the guest may have meant — the same dates next month or next year — and asking which one is the required behaviour, not a fault.","","bench/cases.json","Case D2","abstain","TRUE","hard"
"D3","Dates & temporal logic","enquiry","Tôi cần phòng ngày 05/09, trả luôn trong ngày 05/09, 2 người.","UNANSWERABLE","Zero nights is not a stay. The agent must explain that an overnight booking needs at least one night, and offer either one night or to pass a day-use request to the front desk. No booking.","","bench/cases.json","Case D3","abstain","TRUE","hard"
"D4","Dates & temporal logic","enquiry","Mai tôi tới Nha Trang, ở 2 đêm, 2 người lớn, có phòng nhìn biển không?","ANSWERABLE","The agent must resolve ""mai"" through the date tool rather than doing the arithmetic itself, echo the actual calendar date back to the guest, and quote only categories and totals that the availability tool returned.","[[""{{+1}}"",""{{+1:d/m}}"",""{{+1:dd/mm}}""]]","bench/cases.json","Case D4","answer_directly","FALSE","hard"
"D5","Dates & temporal logic","enquiry","Tôi muốn ở 60 đêm từ 01/10, 2 người lớn.","UNANSWERABLE","The stay is beyond what can be sold in one online booking. The agent must say so and offer to pass a long-stay request to the reservations team, without inventing a price for 60 nights.","","bench/cases.json","Case D5","abstain","TRUE","hard"
"D6","Dates & temporal logic","enquiry","Đặt giúp tôi 2 đêm từ ngày 05/03/2028, 2 người lớn.","UNANSWERABLE","Rates are not open that far ahead. The agent must say the calendar is not open yet and offer to note the request, never quote a rate for 2028.","","bench/cases.json","Case D6","abstain","TRUE","hard"
"D7","Dates & temporal logic","enquiry","Cuối tuần này còn phòng không? 2 người lớn.","ANSWERABLE","""Cuối tuần này"" is ambiguous, and the hotel clock is in the small hours, so the agent must state the exact dates it understood and ask the guest to confirm before treating them as fixed.","","bench/cases.json","Case D7","abstain","TRUE","hard"
"I1","Incomplete requests","enquiry","Tôi muốn đặt phòng.","ANSWERABLE","The agent must ask for the missing facts — arrival date, number of nights or departure, and how many adults and children with their ages — in one short message, and must not guess or assume any of them.","","bench/cases.json","Case I1","abstain","TRUE","hard"
"I2","Incomplete requests","enquiry","2 người lớn 1 trẻ em, nhận phòng 22/09 trả phòng 24/09.","UNANSWERABLE","Occupancy and pricing depend on the child's age, so the agent must ask for the age instead of assuming one. No booking, no quoted total that depends on an assumed age.","[[""tuổi"",""bao nhiêu tuổi""]]","bench/cases.json","Case I2","abstain","TRUE","hard"
"I3","Incomplete requests","enquiry","Cho tôi 1 phòng Deluxe Queen cho 5 người lớn, 22/09 đến 24/09.","UNANSWERABLE","Five adults do not fit one room. The agent must say what the category holds and offer a real alternative — a second room or a villa — instead of accepting the request.","","bench/cases.json","Case I3","abstain","TRUE","hard"
