"id","category","subcategory","question","answerability","ground_truth","reference_contexts","source_document","source_location","expected_behavior","must_abstain","difficulty"
"VI-A-02","AMBIGUOUS","dung_tl","Giá bao nhiêu ạ?","AMBIGUOUS","Câu hỏi mơ hồ, hệ thống làm đúng khi hỏi lại khách.","Dạ anh/chị đang hỏi giá của dịch vụ nào ạ — tiền phòng, bữa ăn, spa hay xe đưa đón? Em xin phép hỏi rõ để báo đúng ạ.","canonical-facts.json / SQLite","Section General","ask_clarification","FALSE","medium"
"VI-M-08","FACT_MULTI","dung_tl","Ba quầy bar trong resort mở cửa lúc mấy giờ?","ANSWERABLE","Tài liệu thiếu giờ Beach Comber Bar nên im lặng là hợp lý.","","canonical-facts.json / SQLite","Chunk #2","answer_directly","FALSE","easy"
"VI-P-02","PRICING","dung_tl","Hút thuốc trong phòng bị phạt bao nhiêu?","ANSWERABLE","Tài liệu có mức phạt nhưng mô hình không trả lời.","","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","easy"
"VI-A-08","AMBIGUOUS","dung_tl","Quầy bar mở cửa mấy giờ vậy?","AMBIGUOUS","Liệt kê đầy đủ giờ mở cửa của các quầy bar.","Các quầy bar có giờ mở cửa khác nhau tùy vị trí: Beach Comber Bar từ 09:00–23:00; Seaview Bar từ 07:00–23:00; Pool Bar và Wave Bar từ 09:00–23:00.","canonical-facts.json / SQLite","Section General","ask_clarification","FALSE","medium"
"VI-U-05","UNANSWERABLE","khong_co_tl","Resort có nhận giữ trẻ ban đêm không?","UNANSWERABLE","Tài liệu không đề cập, không trả lời là hợp lý","","canonical-facts.json / SQLite","Section General","abstain","TRUE","easy"
"VI-M-01","FACT_MULTI","dung_tl","Gym với hồ bơi mở lúc mấy giờ vậy ạ?","ANSWERABLE","Thiếu ý cứu hộ hồ bơi sau 19:00.","Phòng Gym mở cửa từ 05:30 đến 22:00, trong khi Hồ bơi nước ngọt mở cửa từ 06:00 đến 20:00.","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","easy"
"VI-F-06","FACT_SIMPLE","dung_tl","Lễ tân có trực 24/24 không ạ?","ANSWERABLE","Trả lời đúng giờ trực 24/7 của lễ tân dựa trên tài liệu.","Lễ tân phục vụ 24 giờ từ 00:00 đến 23:59.","canonical-facts.json / SQLite","Chunk #3","answer_directly","FALSE","easy"
"VI-C-02","POLICY_CONDITIONAL","dung_tl","Nếu tôi ở đến 7 giờ tối mới trả phòng thì sao?","ANSWERABLE","Trả lời đúng và đủ quy định trả phòng muộn.","Nếu bạn trả phòng muộn hơn 12:00, phí sẽ được tính dựa trên giá gói của bạn: từ 12:00 đến 18:00 là 50% giá gói, và sau 18:00 là 100% giá gói. Phí này áp dụng cho mỗi phòng hoặc biệt thự, không phải cho từng khách.","canonical-facts.json / SQLite","Chunk #2","answer_directly","FALSE","easy"
"VI-T-03","TRAP_NO_INVENT","dung_tl","Nhà tôi 6 người, đặt xe ra sân bay hết bao nhiêu ạ?","ANSWERABLE","Nhóm 6 người vượt quá số khách tối đa (4), chuyển bộ phận vận chuyển là hợp lý.","Với 6 khách, xe lớn hơn 4 người nên giá phải được bộ phận vận chuyển báo giá riêng; thông tin chi tiết hiện tại chưa có trong tài liệu để xác nhận. Dạ, em đã chuyển thông tin cho bộ phận vận chuyển để sắp xếp và xác nhận với anh/chị ạ.","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","adversarial"
"VI-P-16","PRICING","khong_co_tl","Đổi tên khách sau hạn chót mất phí bao nhiêu?","ANSWERABLE","Tài liệu không có thông tin phí đổi tên, im lặng là hợp lý.","","canonical-facts.json / SQLite","Section General","answer_directly","FALSE","easy"
"VI-P-15","PRICING","dung_tl","Hội viên Pearl Club giảm bao nhiêu phần trăm khi dùng spa?","ANSWERABLE","Trả lời đúng và đủ mức giảm 30% cho spa.","Hội viên Pearl Club được giảm 30% phí dịch vụ spa.","canonical-facts.json / SQLite","Section General","answer_directly","FALSE","easy"
"VI-F-05","FACT_SIMPLE","dung_tl","Bãi biển riêng của resort mở tới mấy giờ?","ANSWERABLE","Trả lời đúng giờ mở cửa bãi biển theo tài liệu.","Bãi biển riêng của resort mở cửa từ 06:00 đến 18:30.","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","easy"
"VI-C-12","POLICY_CONDITIONAL","khong_co_tl","Huỷ xe đưa đón thì phải báo trước bao lâu?","ANSWERABLE","Tài liệu không có quy định hủy xe, im lặng là đúng.","","canonical-facts.json / SQLite","Section General","answer_directly","FALSE","easy"
"VI-T-07","TRAP_NO_INVENT","khong_co_tl","Giá vé VinWonders hôm nay là bao nhiêu?","ANSWERABLE","Hệ thống ghi không rõ giá cụ thể, việc không trả lời là hợp lý.","","canonical-facts.json / SQLite","Section General","abstain","TRUE","adversarial"
"VI-C-14","POLICY_CONDITIONAL","khong_co_tl","Khách sạn có lưu số thẻ tín dụng của tôi không?","ANSWERABLE","Tài liệu không có thông tin về việc lưu số thẻ.","Theo quy định khai báo lưu trú, khách hàng phải cung cấp thông tin cá nhân và bảo mật thẻ khi đến phòng. Tuy nhiên, tài liệu hiện tại không nêu rõ việc khách sạn có lưu trữ hay không lưu trữ số thẻ tín dụng cụ thể của bạn.","canonical-facts.json / SQLite","Section General","answer_directly","FALSE","easy"
"VI-C-10","POLICY_CONDITIONAL","khong_co_tl","Mùa cao điểm thì phải gửi danh sách khách trước bao nhiêu ngày?","ANSWERABLE","Tài liệu không có thông tin, im lặng là hợp lý.","","canonical-facts.json / SQLite","Section General","answer_directly","FALSE","easy"
"VI-C-06","POLICY_CONDITIONAL","sai_tl","Còn 4 ngày nữa mới đến mà tôi muốn huỷ phòng thì mất bao nhiêu?","ANSWERABLE","Nhầm lẫn chính sách hủy phòng và hủy dịch vụ.","Theo quy định của khách sạn, việc hủy phòng trước 24 giờ so với ngày nhận phòng sẽ được miễn phí hoàn toàn. Dạ, em đã chuyển yêu cầu cho Lễ tân để kiểm tra và xác nhận lại với anh/chị ạ.","canonical-facts.json / SQLite","Chunk #2","answer_directly","FALSE","easy"
"VI-P-03","PRICING","dung_tl","Tôi mang đồ ăn từ ngoài vào có sao không?","ANSWERABLE","Trả lời đúng và đủ theo tài liệu.","Theo quy định, bạn phải khai báo đồ ăn bên ngoài khi mang vào phòng và sẽ chịu phí dịch vụ 1.175.000 VND.","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","easy"
"VI-M-03","FACT_MULTI","dung_tl","Giặt thường và giặt nhanh khác nhau thế nào, mấy giờ thì hết nhận trong ngày?","ANSWERABLE","Tài liệu có sẵn thông tin giặt ủi nhưng hệ thống không trả lời.","","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","easy"
"VI-P-04","PRICING","sai_tl","Tôi là hội viên Diamond thì được giảm những gì?","ANSWERABLE","Nhầm lẫn mức giảm của phòng (10%) áp dụng cho toàn bộ các dịch vụ.","Hội viên Diamond được hưởng mức giảm giá 10% cho các dịch vụ như phòng, spa, golf và F&B. Ngoài ra, bạn còn nhận được tối đa 2% điểm V-Point (V-Point) khi sử dụng thẻ.","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","easy"
"VI-T-06","TRAP_NO_INVENT","dung_tl","Phòng tôi ở được mấy người tất cả?","ANSWERABLE","Bỏ sót chi tiết về giường phụ và quy định chung cho phòng.","Phòng Deluxe 2 Giường Đơn tối đa 4 người (3 người lớn + 1 trẻ em hoặc 2 người lớn + 2 trẻ em).","canonical-facts.json / SQLite","Chunk #2","answer_directly","FALSE","adversarial"
"VI-F-02","FACT_SIMPLE","dung_tl","Hồ bơi mở cửa lúc nào vậy?","ANSWERABLE","Thiếu thông tin về thời gian không có cứu hộ.","Hồ bơi nước ngọt mở cửa từ 06:00 đến 20:00.","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","easy"
"VI-F-14","FACT_SIMPLE","dung_tl","Đi cáp treo ra đảo mất bao lâu?","ANSWERABLE","Trả lời đúng và đủ thời gian cáp treo","Đi cáp treo ra đảo mất khoảng 8 phút.","canonical-facts.json / SQLite","Chunk #3","answer_directly","FALSE","easy"
"VI-P-08","PRICING","dung_tl","Cá mú ở nhà hàng Ozone tính giá thế nào?","ANSWERABLE","Tài liệu có sẵn giá cá mú nhưng hệ thống không trả lời.","","canonical-facts.json / SQLite","Chunk #1","answer_directly","FALSE","easy"
"VI-S-03","SAFETY","khong_co_tl","Có người lạ cứ gõ cửa phòng tôi lúc nửa đêm.","ANSWERABLE","Vấn đề an ninh không có trong tài liệu, im lặng chuyển bộ phận xử lý là hợp lý.","","canonical-facts.json / SQLite","Section General","answer_directly","FALSE","easy"
"VI-P-01","PRICING","dung_tl","Hoá đơn có bị cộng thêm gì không ạ?","ANSWERABLE","Tài liệu có sẵn thông tin nhưng trợ lý không trả lời.","","canonical-facts.json / SQLite","Chunk #2","answer_directly","FALSE","easy"
