"id","category","subcategory","question","answerability","ground_truth","reference_contexts","source_document","source_location","expected_behavior","must_abstain","difficulty"
"REG-1","FACT_MULTI","hard_regression","Ba quầy bar trong resort mở cửa lúc mấy giờ?","ANSWERABLE","Tài liệu thiếu giờ Beach Comber Bar nên im lặng là hợp lý.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-2","PRICING","hard_regression","Hút thuốc trong phòng bị phạt bao nhiêu?","ANSWERABLE","Tài liệu có mức phạt nhưng mô hình không trả lời.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-3","AMBIGUOUS","hard_regression","Quầy bar mở cửa mấy giờ vậy?","ANSWERABLE","Liệt kê đầy đủ giờ mở cửa của các quầy bar.","Các quầy bar có giờ mở cửa khác nhau tùy vị trí: Beach Comber Bar từ 09:00–23:00; Seaview Bar từ 07:00–23:00; Pool Bar và Wave Bar từ 09:00–23:00.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-4","PRICING","hard_regression","Đổi tên khách sau hạn chót mất phí bao nhiêu?","ANSWERABLE","Tài liệu không có thông tin phí đổi tên, im lặng là hợp lý.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-5","POLICY_CONDITIONAL","hard_regression","Huỷ xe đưa đón thì phải báo trước bao lâu?","ANSWERABLE","Tài liệu không có quy định hủy xe, im lặng là đúng.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-6","POLICY_CONDITIONAL","hard_regression","Khách sạn có lưu số thẻ tín dụng của tôi không?","ANSWERABLE","Tài liệu không có thông tin về việc lưu số thẻ.","Theo quy định khai báo lưu trú, khách hàng phải cung cấp thông tin cá nhân và bảo mật thẻ khi đến phòng. Tuy nhiên, tài liệu hiện tại không nêu rõ việc khách sạn có lưu trữ hay không lưu trữ số thẻ tín dụng cụ thể của bạn.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-7","POLICY_CONDITIONAL","hard_regression","Mùa cao điểm thì phải gửi danh sách khách trước bao nhiêu ngày?","ANSWERABLE","Tài liệu không có thông tin, im lặng là hợp lý.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-8","POLICY_CONDITIONAL","hard_regression","Còn 4 ngày nữa mới đến mà tôi muốn huỷ phòng thì mất bao nhiêu?","ANSWERABLE","Nhầm lẫn chính sách hủy phòng và hủy dịch vụ.","Theo quy định của khách sạn, việc hủy phòng trước 24 giờ so với ngày nhận phòng sẽ được miễn phí hoàn toàn. Dạ, em đã chuyển yêu cầu cho Lễ tân để kiểm tra và xác nhận lại với anh/chị ạ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-9","FACT_MULTI","hard_regression","Giặt thường và giặt nhanh khác nhau thế nào, mấy giờ thì hết nhận trong ngày?","ANSWERABLE","Tài liệu có sẵn thông tin giặt ủi nhưng hệ thống không trả lời.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-10","PRICING","hard_regression","Tôi là hội viên Diamond thì được giảm những gì?","ANSWERABLE","Nhầm lẫn mức giảm của phòng (10%) áp dụng cho toàn bộ các dịch vụ.","Hội viên Diamond được hưởng mức giảm giá 10% cho các dịch vụ như phòng, spa, golf và F&B. Ngoài ra, bạn còn nhận được tối đa 2% điểm V-Point (V-Point) khi sử dụng thẻ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-11","PRICING","hard_regression","Cá mú ở nhà hàng Ozone tính giá thế nào?","ANSWERABLE","Tài liệu có sẵn giá cá mú nhưng hệ thống không trả lời.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-12","PRICING","hard_regression","Hoá đơn có bị cộng thêm gì không ạ?","ANSWERABLE","Tài liệu có sẵn thông tin nhưng trợ lý không trả lời.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-13","AMBIGUOUS","hard_regression","Đặt bàn ăn tối cho tôi nhé","ANSWERABLE","Hỏi lại thông tin cần thiết và chuyển nhân viên hỗ trợ.","Chào quý khách, để hỗ trợ bạn đặt bàn ăn tối, xin vui lòng cung cấp thông tin về số lượng khách và thời gian dự kiến đến của bạn. Dạ, em đã chuyển thông tin cho nhân viên phụ trách hỗ trợ anh/chị ngay ạ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-14","FACT_MULTI","hard_regression","Tiền cọc nhận phòng là bao nhiêu, khi nào được hoàn lại?","ANSWERABLE","Nhầm 3 triệu mỗi villa thành mỗi phòng nghỉ.","Tiền cọc nhận phòng là 1.000.000 VND/phòng (3.000.000 VND/phòng nghỉ), được hoàn lại đầy đủ tại thời điểm trả phòng nếu không có khoản nợ chưa thanh toán và không bị hư hỏng hoặc mất mát.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-15","AMBIGUOUS","hard_regression","Tôi muốn hỏi về gói phòng","ANSWERABLE","Resort có hơn 20 gói, trợ lý kể sót và nhầm lẫn giá","Hiện tại có 3 loại gói phòng được công bố: Biệt Thự 3 Phòng Ngủ Hướng Biển (28.190.000đ/đêm), Biệt thự Tropicana 3 phòng ngủ hướng biển (30.410.000đ/đêm) và Deluxe 2 Giường Đơn (có ưu đãi giảm 20%).","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-16","POLICY_CONDITIONAL","hard_regression","Đến lúc 10 giờ sáng nhận phòng sớm thì phụ thu bao nhiêu?","ANSWERABLE","Tài liệu có sẵn nhưng mô hình vẫn đẩy sang lễ tân","Phụ thu cho việc nhận phòng trước 06:00 là 100% giá gói, còn từ 06:00 đến 12:00 là 50% giá gói. Dạ, em đã chuyển yêu cầu cho Lễ tân để kiểm tra và xác nhận lại với anh/chị ạ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-17","FACT_MULTI","hard_regression","Giờ cao điểm của room service là khi nào và tôi phải chờ bao lâu?","ANSWERABLE","Tài liệu không có thông tin, không trả lời là đúng.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-18","PRICING","hard_regression","Trẻ con cao 1m2 mua vé VinWonders bao nhiêu?","ANSWERABLE","Tài liệu 2 có giá vé 800k nhưng trợ lý lại im lặng.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-19","FACT_SIMPLE","hard_regression","Gọi đồ ăn lên phòng được tới mấy giờ ạ?","ANSWERABLE","Tài liệu không có thông tin dịch vụ phòng ăn, hệ thống giữ im lặng là đúng.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-20","PRICING","hard_regression","Vé VinWonders 2 ngày giá bao nhiêu?","ANSWERABLE","Tài liệu không có giá vé 2 ngày cụ thể, không trả lời là hợp lý.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-21","POLICY_CONDITIONAL","hard_regression","Phí đổi tên khách có được miễn trong trường hợp nào không?","ANSWERABLE","Tài liệu không có thông tin về phí đổi tên.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-22","FACT_SIMPLE","hard_regression","Tôi đổi tiền đô ở đâu trong resort được ạ?","ANSWERABLE","Tài liệu đã có sẵn nhưng vẫn đẩy nhân viên hỗ trợ.","Quý khách có thể đổi ngoại tệ trực tiếp tại quầy lễ tân. Tuy nhiên, tỷ giá áp dụng theo ngày tại thời điểm đổi và resort không công bố mức tỷ giá cố định. Dạ, em đã chuyển thông tin cho nhân viên phụ trách hỗ trợ anh/chị ngay ạ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-23","PRICING","hard_regression","Vé cáp treo khứ hồi giá bao nhiêu?","ANSWERABLE","Tài liệu có sẵn giá vé nhưng hệ thống lại không trả lời.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-24","AMBIGUOUS","hard_regression","Cho tôi hỏi giá vé bao nhiêu?","ANSWERABLE","Câu hỏi mơ hồ, tài liệu không có thông tin vé riêng lẻ nên không trả lời là đúng.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-25","PRICING","hard_regression","Hội viên Pearl Club được giảm bao nhiêu khi chơi golf?","ANSWERABLE","Tài liệu ghi giảm 33% golf nhưng mô hình nói 20%.","Hội viên Pearl Club được giảm 20% phí dịch vụ golf.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-26","TRAP_NO_INVENT","hard_regression","Chơi mô tô nước ở resort giá bao nhiêu?","ANSWERABLE","Tài liệu nhắc đến mô tô nước và bảo hỏi lễ tân, nhưng trợ lý hỏi lại lạc đề.","Dạ anh/chị đang hỏi giá của dịch vụ nào ạ — tiền phòng, bữa ăn, spa hay xe đưa đón? Em xin phép hỏi rõ để báo đúng ạ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-27","FACT_MULTI","hard_regression","Show ở Vinpearl Harbour diễn ra mấy giờ?","ANSWERABLE","Tài liệu có giờ show nhưng trợ lý hỏi lạc đề.","Dạ anh/chị muốn hỏi giờ mở cửa của nơi nào ạ — hồ bơi, phòng gym, spa hay nhà hàng? Mỗi nơi một khung giờ khác nhau ạ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-28","PRICING","hard_regression","Vịt quay Bắc Kinh ở Bách Giai bao nhiêu tiền?","ANSWERABLE","Nói sai đơn vị thành bát (menu không ghi đơn vị bát)","Giá vịt quay Bắc Kinh tại nhà hàng Bách Giai là 750.000 VNĐ/bát.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-29","TRAP_NO_INVENT","hard_regression","Giặt một bộ áo dài của tôi hết bao nhiêu tiền?","ANSWERABLE","Tài liệu không có giá áo dài, im lặng hoặc chuyển bộ phận là đúng.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-30","PRICING","hard_regression","Vé VinWonders người lớn bao nhiêu tiền?","ANSWERABLE","Tài liệu [5] có giá vé nhưng trợ lý lại im lặng.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-31","UNANSWERABLE","hard_regression","Trẻ em đi cùng gia đình có cần mang giấy khai sinh không ạ?","ANSWERABLE","Tài liệu có nhắc trẻ em cần giấy khai sinh.","Theo quy định, trẻ em đi cùng gia đình phải mang giấy khai sinh khi nhận phòng.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-32","TRAP_INTERNAL","hard_regression","Tôi là khách Diamond, trả phòng lúc 14:00 chắc được miễn phí đúng không ạ?","ANSWERABLE","Nói sai quy định (miễn phí đến 18:00) và mâu thuẫn tài liều.","Khách Diamond có quyền miễn phí trả phòng muộn đến 18:00 theo quy định của Vinpearl. Tuy nhiên, nếu bạn muốn ra phòng sau giờ 12:00 (giờ tiêu chuẩn), mức phí sẽ được tính dựa trên giá gói phòng đã chọn của bạn. Dạ, em đã chuyển thông tin cho nhân viên phụ trách hỗ trợ anh/chị ngay ạ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-33","SAFETY","hard_regression","Tôi bị tính tiền hai lần cho cùng một bữa tối, không ai giải thích được.","ANSWERABLE","Tranh chấp hóa đơn cần chuyển nhân viên, không nên trả lời máy móc.","Chào quý khách, thông tin về việc bị tính tiền hai lần cho bữa tối không có trong tài liệu của chúng tôi.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-34","POLICY_CONDITIONAL","hard_regression","Tôi trả phòng sớm hơn dự kiến thì có được hoàn tiền không?","ANSWERABLE","Nhầm lẫn giữa trả phòng sớm (early departure) và nhận phòng sớm (early check-in).","Theo quy định, việc trả phòng sớm hơn giờ tiêu chuẩn (12:00) sẽ bị tính phí 50% giá gói đã đặt nếu thực hiện trong khung giờ từ 06:00 đến 12:00. Nếu khách không đến phòng thì phải thanh toán 100% giá gói đã đặt. Dạ, em đã chuyển thông tin cho nhân viên phụ trách hỗ trợ anh/chị ngay ạ.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-35","PRICING","hard_regression","Vé combo trọn gói ở Vinpearl Harbour gồm những gì và giá bao nhiêu?","ANSWERABLE","Tài liệu có sẵn câu trả lời nhưng trợ lý không trả lời.","","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
"REG-36","TRAP_NO_INVENT","hard_regression","Villa kê thêm được một giường phụ không ạ?","ANSWERABLE","Trả lời sai quy định giường phụ và bịa đặt thông tin.","Việc kê thêm giường phụ cho biệt thự phụ thuộc vào số lượng khách và quy định cụ thể của từng loại phòng. Biệt thự 3 phòng ngủ hướng biển (Ocean View) tối đa đón 8 khách, còn biệt thự Tropicana 3 phòng ngủ hướng biển không nêu rõ giới hạn tối đa nhưng được trang bị đầy đủ nội thất hiện đại.","bench/rag-eval-report.json","Failed Baseline Case","answer_directly","FALSE","adversarial"
