"test_id","pass_fail","failure_mode","root_cause_status"
"BM-REAL-008","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-REAL-009","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-REAL-040","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-REAL-052","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-REAL-068","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-REAL-084","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-REAL-100","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-DIAG-004","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-DIAG-012","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-DIAG-018","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-DIAG-020","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","NOT_VERIFIED"
"BM-DIAG-024","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-DIAG-028","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-DIAG-032","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-DIAG-040","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-DIAG-045","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S01-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S03-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S05-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S06-T3","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S07-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S08-T1","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S09-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S11-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S13-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S15-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S15-T3","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S16-T2","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S17-T1","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S17-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S19-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S21-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S23-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S24-T3","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S25-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S26-T1","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S27-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S29-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S31-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S33-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-MULTI-S33-T3","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S34-T2","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S35-T1","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-MULTI-S35-T2","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-ADV-004","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-ADV-008","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-ADV-009","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-ADV-012","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-ADV-016","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-ADV-018","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-ADV-020","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-ADV-024","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-ADV-027","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-ADV-028","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-ADV-032","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-004","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-008","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-009","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-NUM-012","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-016","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-018","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-NUM-020","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-024","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-027","FAIL","GENERATION_DISTORTION","VERIFIED"
"BM-NUM-028","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-032","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-036","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
"BM-NUM-040","FAIL","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","VERIFIED"
