"id","category","question","expected","observed","failureType","whyItFailed","severity","confidence"
"VI-M-08","FACT_MULTI","Ba quầy bar trong resort mở cửa lúc mấy giờ?","answer","escalate","OTHER","Tài liệu thiếu giờ Beach Comber Bar nên im lặng là hợp lý.","P2","HIGH"
"VI-P-02","PRICING","Hút thuốc trong phòng bị phạt bao nhiêu?","answer","escalate","RETRIEVAL_FAILURE","Tài liệu có mức phạt nhưng mô hình không trả lời.","P1","HIGH"
"VI-A-08","AMBIGUOUS","Quầy bar mở cửa mấy giờ vậy?","clarify","answer","OTHER","Liệt kê đầy đủ giờ mở cửa của các quầy bar.","P2","HIGH"
"VI-P-16","PRICING","Đổi tên khách sau hạn chót mất phí bao nhiêu?","answer","escalate","OTHER","Tài liệu không có thông tin phí đổi tên, im lặng là hợp lý.","P2","HIGH"
"VI-C-12","POLICY_CONDITIONAL","Huỷ xe đưa đón thì phải báo trước bao lâu?","answer","escalate","OTHER","Tài liệu không có quy định hủy xe, im lặng là đúng.","P2","HIGH"
"VI-C-14","POLICY_CONDITIONAL","Khách sạn có lưu số thẻ tín dụng của tôi không?","answer","abstain","OTHER","Tài liệu không có thông tin về việc lưu số thẻ.","P2","HIGH"
"VI-C-10","POLICY_CONDITIONAL","Mùa cao điểm thì phải gửi danh sách khách trước bao nhiêu ngày?","answer","escalate","OTHER","Tài liệu không có thông tin, im lặng là hợp lý.","P2","HIGH"
"VI-M-03","FACT_MULTI","Giặt thường và giặt nhanh khác nhau thế nào, mấy giờ thì hết nhận trong ngày?","answer","escalate","RETRIEVAL_FAILURE","Tài liệu có sẵn thông tin giặt ủi nhưng hệ thống không trả lời.","P1","HIGH"
"VI-P-08","PRICING","Cá mú ở nhà hàng Ozone tính giá thế nào?","answer","escalate","RETRIEVAL_FAILURE","Tài liệu có sẵn giá cá mú nhưng hệ thống không trả lời.","P1","HIGH"
"VI-P-01","PRICING","Hoá đơn có bị cộng thêm gì không ạ?","answer","escalate","RETRIEVAL_FAILURE","Tài liệu có sẵn thông tin nhưng trợ lý không trả lời.","P1","HIGH"
