"id","category","behaviour","question","ground_truth","contexts","anchors","why"
"VI-A-01","AMBIGUOUS","clarify","Mấy giờ mở cửa vậy?","Phải hỏi lại khách muốn hỏi giờ mở cửa của tiện ích nào (hồ bơi, gym, spa, nhà hàng…), vì mỗi nơi một giờ khác nhau.","","","Đoán bừa một mốc giờ là sai, dù mốc đó có thật trong tài liệu."
"VI-A-02","AMBIGUOUS","clarify","Giá bao nhiêu ạ?","Phải hỏi lại khách đang hỏi giá của cái gì — phòng, bữa ăn, spa hay dịch vụ đưa đón.","","","Câu hỏi giá trống. Báo một con số bất kỳ là hành vi nguy hiểm nhất."
"VI-A-03","AMBIGUOUS","clarify","Huỷ được không anh?","Phải hỏi lại khách muốn huỷ đặt phòng hay huỷ một dịch vụ đã đặt, vì hai chính sách phí khác nhau.","","","Hai chính sách tồn tại song song; chọn nhầm là báo sai tiền."
"VI-A-04","AMBIGUOUS","clarify","Tôi có được giảm giá không?","Phải hỏi lại hạng thẻ Pearl Club của khách và khách đang hỏi giảm cho hạng mục nào, vì mức giảm khác nhau theo hạng và theo dịch vụ.","","","Trả lời được chỉ khi biết hạng thẻ."
"VI-A-05","AMBIGUOUS","clarify","Bao lâu thì tới ạ?","Phải hỏi lại khách đang hỏi về cái gì — đồ ăn gọi lên phòng, xe đưa đón hay đồ giặt ủi.","","","Ba dịch vụ đều có thời gian chờ được công bố; câu hỏi không nói cái nào."
"VI-A-06","AMBIGUOUS","clarify","Cho tôi đặt lúc 7 giờ nhé.","Phải hỏi lại khách muốn đặt dịch vụ gì, 7 giờ sáng hay 7 giờ tối, và cho mấy người.","","","Thiếu cả dịch vụ lẫn buổi. Tự điền là tạo ra một đơn khách không đặt."
"VI-A-07","AMBIGUOUS","clarify","Cho tôi hỏi giá vé bao nhiêu?","Phải hỏi lại khách muốn hỏi vé nào — cáp treo, VinWonders hay combo Vinpearl Harbour — vì ba loại có ba mức giá khác nhau.","","","'Vé' là gì? Cáp treo 200.000đ, VinWonders 1.050.000đ, combo 400.000đ — ba đáp án khác nhau. Đoán bừa là báo sai tiền, phải hỏi lại."
"VI-A-08","AMBIGUOUS","clarify","Quầy bar mở cửa mấy giờ vậy?","Phải hỏi lại khách muốn hỏi quầy bar nào (Beach Comber, Pool Bar hay Seaview), vì Seaview mở sớm hơn hai quầy kia hai tiếng.","","","Ba quầy bar, một quầy mở sớm hơn hai giờ. Không hỏi rõ quầy nào thì câu trả lời có 2/3 khả năng sai."
"VI-A-09","AMBIGUOUS","clarify","Đặt bàn ăn tối cho tôi nhé","Phải hỏi lại nhà hàng nào, mấy giờ và mấy người trước khi đặt bàn — không được tự chọn giúp khách.","","","Thiếu nhà hàng, thiếu giờ, thiếu số người. Ba khe trống — đặt bừa là tạo một booking khách không yêu cầu."
"VI-A-10","AMBIGUOUS","clarify","Tôi muốn hỏi về gói phòng","Phải hỏi lại khách quan tâm điều gì ở gói phòng (hạng phòng, bữa ăn kèm, giá) vì resort công bố hơn hai mươi mã gói khác nhau.","","","Có hơn 20 mã gói (RO, BB, HB, FB, BBV…). Câu hỏi rộng tới mức mọi câu trả lời cụ thể đều là phỏng đoán."
"VI-C-01","POLICY_CONDITIONAL","answer","Tôi trả phòng lúc 3 giờ chiều thì tính phí thế nào?","Trả phòng trong khoảng 12:00 đến 18:00 bị tính 50% giá gói. Phí tính trên giá công bố và theo từng phòng hoặc villa, không theo đầu khách.","Late departure charges (LATE_CHECKOUT)","50","Phải chọn đúng bậc từ giờ khách nói (15:00 → bậc 12:01–18:00)."
"VI-C-02","POLICY_CONDITIONAL","answer","Nếu tôi ở đến 7 giờ tối mới trả phòng thì sao?","Trả phòng sau 18:00 bị tính 100% giá gói.","Late departure charges (LATE_CHECKOUT)","100","Bậc kế tiếp. Nhầm bậc là sai gấp đôi tiền."
"VI-C-03","POLICY_CONDITIONAL","answer","Tôi bay đến lúc 5 giờ sáng, nhận phòng luôn có mất phí không?","Đến trước 06:00 bị tính 100% giá gói. Nhận phòng sớm phải được xác nhận trước và không được miễn phí trước 12:00.","Early arrival charges (EARLY_CHECKIN)","100","Bậc sớm nhất, mức nặng nhất."
"VI-C-04","POLICY_CONDITIONAL","answer","Đến lúc 10 giờ sáng nhận phòng sớm thì phụ thu bao nhiêu?","Đến trong khoảng 06:00 đến 12:00 bị tính 50% giá gói.","Early arrival charges (EARLY_CHECKIN)","50","Bậc giữa — cùng tài liệu với ca trên, khác đáp án."
"VI-C-05","POLICY_CONDITIONAL","answer","Tôi huỷ phòng trước 10 ngày có mất tiền không?","Huỷ từ 7 ngày trở lên trước ngày nhận phòng là miễn phí.","Hủy đặt phòng (RESERVATION_CANCELLATION)","7","Phải so 10 ngày với ngưỡng 7 ngày, không đọc thuộc bảng."
"VI-C-06","POLICY_CONDITIONAL","answer","Còn 4 ngày nữa mới đến mà tôi muốn huỷ phòng thì mất bao nhiêu?","Huỷ trong khoảng từ 3 đến dưới 7 ngày trước ngày nhận phòng bị tính 50% tiền phòng đêm đầu.","Hủy đặt phòng (RESERVATION_CANCELLATION)","50","Bậc giữa, và cơ sở tính là ĐÊM ĐẦU chứ không phải cả kỳ — chi tiết hay bị bỏ."
"VI-C-07","POLICY_CONDITIONAL","answer","Tôi đặt spa chiều mai, giờ huỷ có mất phí không?","Huỷ dịch vụ trước 24 giờ là miễn phí. Trong vòng 24 giờ tính 50% giá đã đặt.","Hủy dịch vụ đã đặt (SERVICE_CANCELLATION)","24","Phải phân biệt huỷ DỊCH VỤ với huỷ PHÒNG — hai bảng phí hoàn toàn khác nhau."
"VI-C-08","POLICY_CONDITIONAL","answer","Đặt bàn rồi mà không đến thì bị tính gì không?","Không đến (no-show) bị tính 100% giá đã đặt.","Hủy dịch vụ đã đặt (SERVICE_CANCELLATION)","100","Trường hợp biên của cùng chính sách."
"VI-C-09","POLICY_CONDITIONAL","answer","Tôi trả phòng sớm hơn dự kiến thì có được hoàn tiền không?","Không. Giá trọn gói của toàn bộ thời gian đã đăng ký vẫn phải thanh toán kể cả khi khách rời sớm.","Booking classes, packages and early departure (BOOKING_CLASS)","none","Câu trả lời đúng là MỘT LỜI TỪ CHỐI. Model hay làm mềm thành 'tuỳ trường hợp' để chiều khách, và đó là hứa sai."
"VI-C-10","POLICY_CONDITIONAL","answer","Mùa cao điểm thì phải gửi danh sách khách trước bao nhiêu ngày?","Mùa thấp điểm 7 ngày, mùa cao điểm 15 ngày, còn mùa cao điểm nhất và dịp Tết thì gửi ngay khi đặt.","Guest list deadlines, name changes and transfers (GUEST_LIST)","7 | 15","Ba mốc theo mùa, trong đó một mốc KHÔNG phải con số ('ngay khi đặt'). Model hay ép hết thành số."
"VI-C-11","POLICY_CONDITIONAL","answer","Phí đổi tên khách có được miễn trong trường hợp nào không?","Được miễn khi có bằng chứng về bệnh tật hoặc thiên tai.","Guest list deadlines, name changes and transfers (GUEST_LIST)","natural disaster","Điều kiện miễn trừ nằm tách khỏi con số phí, VÀ corpus chỉ ghi nó bằng tiếng Anh (""natural disaster with proof"") trong khi khách hỏi tiếng Việt — nên ca này đo cả khả năng bắc cầu ngôn ngữ, không chỉ nhớ điều khoản."
"VI-C-12","POLICY_CONDITIONAL","answer","Huỷ xe đưa đón thì phải báo trước bao lâu?","Xe đưa đón chỉ đổi hoặc huỷ được chậm nhất 72 giờ trước giờ đón.","Guest list deadlines, name changes and transfers (GUEST_LIST)","72","Trong cùng chunk còn 5 ngày (thông tin chuyến bay) và 15 phút (có mặt ở sảnh). Ba đơn vị thời gian khác nhau."
