"id","category","subcategory","question","answerability","ground_truth","reference_contexts","source_document","source_location","expected_behavior","must_abstain","difficulty"
"USER-1","AMBIGUOUS","trace_history","Giá bao nhiêu ạ?","ANSWERABLE","Câu hỏi mơ hồ, hệ thống làm đúng khi hỏi lại khách.","Dạ anh/chị đang hỏi giá của dịch vụ nào ạ — tiền phòng, bữa ăn, spa hay xe đưa đón? Em xin phép hỏi rõ để báo đúng ạ.","data.db / conversations","Session Live Trace","ask_clarification","FALSE","medium"
"USER-2","FACT_MULTI","trace_history","Ba quầy bar trong resort mở cửa lúc mấy giờ?","ANSWERABLE","Tài liệu thiếu giờ Beach Comber Bar nên im lặng là hợp lý.","","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-3","PRICING","trace_history","Hút thuốc trong phòng bị phạt bao nhiêu?","ANSWERABLE","Tài liệu có mức phạt nhưng mô hình không trả lời.","","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-4","AMBIGUOUS","trace_history","Quầy bar mở cửa mấy giờ vậy?","ANSWERABLE","Liệt kê đầy đủ giờ mở cửa của các quầy bar.","Các quầy bar có giờ mở cửa khác nhau tùy vị trí: Beach Comber Bar từ 09:00–23:00; Seaview Bar từ 07:00–23:00; Pool Bar và Wave Bar từ 09:00–23:00.","data.db / conversations","Session Live Trace","ask_clarification","FALSE","medium"
"USER-5","UNANSWERABLE","trace_history","Resort có nhận giữ trẻ ban đêm không?","UNANSWERABLE","Tài liệu không đề cập, không trả lời là hợp lý","","data.db / conversations","Session Live Trace","answer_directly","TRUE","medium"
"USER-6","FACT_MULTI","trace_history","Gym với hồ bơi mở lúc mấy giờ vậy ạ?","ANSWERABLE","Thiếu ý cứu hộ hồ bơi sau 19:00.","Phòng Gym mở cửa từ 05:30 đến 22:00, trong khi Hồ bơi nước ngọt mở cửa từ 06:00 đến 20:00.","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-7","FACT_SIMPLE","trace_history","Lễ tân có trực 24/24 không ạ?","ANSWERABLE","Trả lời đúng giờ trực 24/7 của lễ tân dựa trên tài liệu.","Lễ tân phục vụ 24 giờ từ 00:00 đến 23:59.","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-8","POLICY_CONDITIONAL","trace_history","Nếu tôi ở đến 7 giờ tối mới trả phòng thì sao?","ANSWERABLE","Trả lời đúng và đủ quy định trả phòng muộn.","Nếu bạn trả phòng muộn hơn 12:00, phí sẽ được tính dựa trên giá gói của bạn: từ 12:00 đến 18:00 là 50% giá gói, và sau 18:00 là 100% giá gói. Phí này áp dụng cho mỗi phòng hoặc biệt thự, không phải cho từng khách.","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-9","TRAP_NO_INVENT","trace_history","Nhà tôi 6 người, đặt xe ra sân bay hết bao nhiêu ạ?","ANSWERABLE","Nhóm 6 người vượt quá số khách tối đa (4), chuyển bộ phận vận chuyển là hợp lý.","Với 6 khách, xe lớn hơn 4 người nên giá phải được bộ phận vận chuyển báo giá riêng; thông tin chi tiết hiện tại chưa có trong tài liệu để xác nhận. Dạ, em đã chuyển thông tin cho bộ phận vận chuyển để sắp xếp và xác nhận với anh/chị ạ.","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-10","PRICING","trace_history","Đổi tên khách sau hạn chót mất phí bao nhiêu?","ANSWERABLE","Tài liệu không có thông tin phí đổi tên, im lặng là hợp lý.","","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-11","PRICING","trace_history","Hội viên Pearl Club giảm bao nhiêu phần trăm khi dùng spa?","ANSWERABLE","Trả lời đúng và đủ mức giảm 30% cho spa.","Hội viên Pearl Club được giảm 30% phí dịch vụ spa.","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-12","FACT_SIMPLE","trace_history","Bãi biển riêng của resort mở tới mấy giờ?","ANSWERABLE","Trả lời đúng giờ mở cửa bãi biển theo tài liệu.","Bãi biển riêng của resort mở cửa từ 06:00 đến 18:30.","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
"USER-13","POLICY_CONDITIONAL","trace_history","Huỷ xe đưa đón thì phải báo trước bao lâu?","ANSWERABLE","Tài liệu không có quy định hủy xe, im lặng là đúng.","","data.db / conversations","Session Live Trace","answer_directly","FALSE","medium"
